"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"0D9FA920C3062031","electric_bike","2023-05-07 19:53:48","2023-05-07 19:58:32","Southport Ave & Belmont Ave","13229",,,41.9394075,-87.6638305,41.93,-87.65,"member"
"92485E5FB5888ACD","electric_bike","2023-05-06 18:54:08","2023-05-06 19:03:35","Southport Ave & Belmont Ave","13229",,,41.939481854,-87.6638484,41.94,-87.69,"member"
"FB144B3FC8300187","electric_bike","2023-05-21 00:40:21","2023-05-21 00:44:36","Halsted St & 21st St","13162",,,41.853793144,-87.646719337,41.86,-87.65,"member"
"DDEB93BC2CE9AA77","classic_bike","2023-05-10 16:47:01","2023-05-10 16:59:52","Carpenter St & Huron St","13196","Damen Ave & Cortland St","13133",41.894556,-87.653449,41.915983,-87.677335,"member"
"C07B70172FC92F59","classic_bike","2023-05-09 18:30:34","2023-05-09 18:39:28","Southport Ave & Clark St","TA1308000047","Southport Ave & Belmont Ave","13229",41.957081,-87.664199,41.93947775040509,-87.6637476682663,"member"
"2BA66385DF8F815A","classic_bike","2023-05-30 15:01:21","2023-05-30 15:17:00","Clinton St & Madison St","TA1305000032","McClurg Ct & Ohio St","TA1306000029",41.882751965685614,-87.64119029045105,41.892592119709725,-87.61728912591934,"member"
"31EFCCB05F12D8EF","docked_bike","2023-05-09 14:13:40","2023-05-09 14:47:20","DuSable Lake Shore Dr & Monroe St","13300","Adler Planetarium","13431",41.880958,-87.616743,41.866095,-87.607267,"casual"
"71DFF834E1D3CE0B","classic_bike","2023-05-06 16:47:22","2023-05-06 16:52:13","Shore Dr & 55th St","TA1308000009","Harper Ave & 59th St","KA1503000070",41.795212,-87.580715,41.78794281287,-87.5883151702,"member"
"2117485899B4CEA4","classic_bike","2023-05-15 12:47:26","2023-05-15 13:00:05","Clark St & Schiller St","TA1309000024","Franklin St & Lake St","TA1307000111",41.907993,-87.631501,41.885837,-87.6355,"member"
"811149F69AAE82DD","electric_bike","2023-05-19 05:44:26","2023-05-19 05:47:24","Clinton St & Madison St","TA1305000032","Kingsbury St & Kinzie St","KA1503000043",41.882650971,-87.64144206,41.88917683258,-87.6385057718,"member"
"D71F8A3BB45BDA05","classic_bike","2023-05-13 17:37:12","2023-05-13 17:43:27","Clinton St & Madison St","TA1305000032","Kingsbury St & Kinzie St","KA1503000043",41.882751965685614,-87.64119029045105,41.88917683258,-87.6385057718,"member"
"B0E352E3CE2B6EE9","classic_bike","2023-05-05 06:28:09","2023-05-05 06:55:51","Clark St & Schiller St","TA1309000024","Michigan Ave & 8th St","623",41.907993,-87.631501,41.872773,-87.623981,"member"
"1348715B463F6610","classic_bike","2023-05-15 06:37:34","2023-05-15 07:01:51","Clark St & Schiller St","TA1309000024","Michigan Ave & 8th St","623",41.907993,-87.631501,41.872773,-87.623981,"member"
"22FD33836A76B947","classic_bike","2023-05-18 20:35:00","2023-05-18 20:47:51","Clark St & Schiller St","TA1309000024","Larrabee St & Division St","KA1504000079",41.907993,-87.631501,41.90348607004,-87.6433534936,"member"
"A59A47089DBA82F4","electric_bike","2023-05-13 18:11:25","2023-05-13 18:42:47","Clinton St & Madison St","TA1305000032","State St & Randolph St","TA1305000029",41.8826465,-87.64094666666666,41.88462107257936,-87.62783423066139,"casual"
"0604AB197D201117","electric_bike","2023-05-29 06:19:30","2023-05-29 06:39:50","DuSable Lake Shore Dr & Monroe St","13300","Michigan Ave & Jackson Blvd","TA1309000002",41.881051,-87.61674716666667,41.87785,-87.62408,"casual"
"AA261364E7500CD1","classic_bike","2023-05-29 17:08:05","2023-05-29 17:51:59","Ashland Ave & Blackhawk St","13224","Stave St & Armitage Ave","13266",41.907066,-87.667252,41.917741,-87.691392,"member"
"6DB13FAE5B7A3673","docked_bike","2023-05-28 20:16:34","2023-05-28 22:58:20","DuSable Lake Shore Dr & Monroe St","13300","Michigan Ave & Jackson Blvd","TA1309000002",41.880958,-87.616743,41.87785,-87.62408,"casual"
"B02E54E6F7E987CE","electric_bike","2023-05-18 13:10:29","2023-05-18 13:17:32","Benson Ave & Church St","596","Evanston Civic Center","661",42.048226357,-87.683485627,42.057044,-87.686554,"member"
"09732545D9374E17","classic_bike","2023-05-29 22:12:34","2023-05-29 22:29:37","Clifton Ave & Armitage Ave","TA1307000163","Clark St & Wellington Ave","TA1307000136",41.918216,-87.656936,41.9364968219,-87.6475386582,"member"
"2A979757D6205BF8","electric_bike","2023-05-06 20:46:13","2023-05-06 20:57:38","Sedgwick St & North Ave","TA1307000038","Halsted St & Roscoe St","TA1309000025",41.91132183333333,-87.638724,41.94367,-87.64895,"member"
"2471A931E49C9577","classic_bike","2023-05-26 18:41:13","2023-05-26 19:01:24","Broadway & Belmont Ave","13277","Halsted St & Roscoe St","TA1309000025",41.940106,-87.645451,41.94367,-87.64895,"member"
"7A3C84F9FDC88B8A","classic_bike","2023-05-23 13:44:35","2023-05-23 13:59:36","Spaulding Ave & Armitage Ave","15650","Walsh Park","18067",41.917108034789315,-87.71022096276283,41.91461,-87.667968,"member"
"08E60474BB77A09F","classic_bike","2023-05-30 20:35:26","2023-05-30 20:39:35","LaSalle St & Illinois St","13430","Wabash Ave & Grand Ave","TA1307000117",41.890762,-87.631697,41.891466,-87.626761,"member"
"7EE50FF1E3B1160A","electric_bike","2023-05-28 21:53:01","2023-05-28 22:05:33","Troy St & North Ave","15653","Milwaukee Ave & Fullerton Ave","428",41.909788666666664,-87.70530033333333,41.924670666666664,-87.70055333333333,"member"
"C7455E1721AA4064","docked_bike","2023-05-27 11:14:09","2023-05-27 11:41:23","DuSable Lake Shore Dr & Monroe St","13300","Michigan Ave & Washington St","13001",41.880958,-87.616743,41.883984,-87.624684,"casual"
"3EE3C51D01AF833E","classic_bike","2023-05-18 08:39:49","2023-05-18 08:48:48","Clinton St & Madison St","TA1305000032","Franklin St & Chicago Ave","13017",41.882751965685614,-87.64119029045105,41.896746973093805,-87.63566762208939,"member"
"8706010AD2367F04","classic_bike","2023-05-09 10:26:45","2023-05-09 10:34:08","Clinton St & Madison St","TA1305000032","Michigan Ave & Washington St","13001",41.882751965685614,-87.64119029045105,41.8839840647265,-87.6246839761734,"member"
"68DA3F41B67D2B2D","electric_bike","2023-05-13 16:11:36","2023-05-13 17:00:02","DuSable Lake Shore Dr & Monroe St","13300","Lakefront Trail & Bryn Mawr Ave","15576",41.88108966666667,-87.61680883333334,41.98404411519213,-87.65228122472763,"casual"
"D97B7202D327A6F9","electric_bike","2023-05-18 21:31:29","2023-05-18 21:43:15","Clark St & Schiller St","TA1309000024","Clark St & Wrightwood Ave","TA1305000014",41.908105135,-87.631567001,41.929546,-87.643118,"member"
"E8D982A6E865D5E5","classic_bike","2023-05-10 08:28:14","2023-05-10 08:41:45","Carpenter St & Huron St","13196","Canal St & Jackson Blvd","13138",41.894556,-87.653449,41.877245,-87.639366,"member"
"E7365FF30A17CBDA","classic_bike","2023-05-26 06:35:02","2023-05-26 06:58:12","Shore Dr & 55th St","TA1308000009","Cottage Grove Ave & 63rd St","KA1503000054",41.795212,-87.580715,41.78053094070882,-87.6059702038765,"member"
"C6E532697FDA66F0","electric_bike","2023-05-21 15:56:00","2023-05-21 16:00:36","Spaulding Ave & Armitage Ave","15650","St. Louis Ave & Fullerton Ave","KA1504000090",41.917066455,-87.710295439,41.92481559681187,-87.71449506282805,"member"
"78381A6AEA2D94EC","electric_bike","2023-05-07 10:56:12","2023-05-07 11:01:52","Spaulding Ave & Armitage Ave","15650","St. Louis Ave & Fullerton Ave","KA1504000090",41.917062283,-87.710220218,41.92481559681187,-87.71449506282805,"member"
"D7B4413FB1C9D4F1","classic_bike","2023-05-25 11:16:26","2023-05-25 11:38:17","Ashland Ave & Chicago Ave","13247","Dearborn Pkwy & Delaware Pl","TA1307000128",41.89595435734305,-87.6677280664444,41.898969,-87.629912,"member"
"A9D92A57B2BFE3BD","classic_bike","2023-05-20 19:03:26","2023-05-20 19:07:30","Southport Ave & Wrightwood Ave","TA1307000113","Halsted St & Wrightwood Ave","TA1309000061",41.928773,-87.663913,41.929143,-87.649077,"member"
"ADC9692DEEA71E8B","classic_bike","2023-05-13 13:29:04","2023-05-13 13:44:04","Southport Ave & Belmont Ave","13229","Clifton Ave & Armitage Ave","TA1307000163",41.93947775040509,-87.6637476682663,41.918216,-87.656936,"member"
"BD51AB22E1DF8691","electric_bike","2023-05-20 12:48:20","2023-05-20 13:08:14","Kedzie Ave & Milwaukee Ave","13085","Ogden Ave & Race Ave","13194",41.929554224,-87.707861543,41.891795,-87.658751,"member"
"9B035EB79DB324AD","classic_bike","2023-05-12 02:01:10","2023-05-12 02:08:24","Halsted St & 21st St","13162","Wentworth Ave & Cermak Rd","13075",41.85377981072743,-87.6466029882431,41.85308455741279,-87.63193130493164,"member"
"CCCF923F899FC4DF","docked_bike","2023-05-29 22:34:36","2023-05-29 22:50:19","LaSalle St & Illinois St","13430","St. Clair St & Erie St","13016",41.890762,-87.631697,41.894345,-87.622798,"casual"
"2ABAEC41FBC6F2C8","classic_bike","2023-05-22 15:50:27","2023-05-22 15:56:24","Southport Ave & Belmont Ave","13229","Southport Ave & Wrightwood Ave","TA1307000113",41.93947775040509,-87.6637476682663,41.928773,-87.663913,"member"
"166C93706D789F10","electric_bike","2023-05-08 07:16:17","2023-05-08 07:25:04","Clark St & Schiller St","TA1309000024","LaSalle St & Washington St","13006",41.90809691,-87.631377697,41.882664,-87.63253,"member"
"B1C725EFAC8197C7","electric_bike","2023-05-25 07:01:05","2023-05-25 07:10:38","Clark St & Schiller St","TA1309000024","LaSalle St & Washington St","13006",41.9080125,-87.63153133333333,41.882664,-87.63253,"member"
"B4660EA910494ACB","electric_bike","2023-05-03 19:30:26","2023-05-03 19:31:52","Sheridan Rd & Lawrence Ave","TA1309000041","Sheridan Rd & Argyle St","13059",41.969564319,-87.654717088,41.97328682025979,-87.65475958585739,"member"
"F5336654503D977D","classic_bike","2023-05-19 18:07:53","2023-05-19 18:14:11","Wolcott (Ravenswood) Ave & Montrose Ave","TA1307000144","Lincoln Ave & Sunnyside Ave","TA1307000156",41.961406,-87.676169,41.963004,-87.684781,"member"
"EDFAA5BE875DC63D","electric_bike","2023-05-05 11:36:02","2023-05-05 11:36:14","Field Blvd & South Water St","15534","Field Blvd & South Water St","15534",41.886299849,-87.617548466,41.88634906269,-87.6175165471,"member"
"ED43FFDBB169DB26","electric_bike","2023-05-05 11:36:35","2023-05-05 11:36:54","Field Blvd & South Water St","15534","Field Blvd & South Water St","15534",41.886299849,-87.617548466,41.88634906269,-87.6175165471,"member"
"F20EFD7AA694BBF0","classic_bike","2023-05-23 20:30:38","2023-05-23 21:00:02","Milwaukee Ave & Rockwell St","13242","Ravenswood Ave & Berteau Ave","TA1309000018",41.92019556200566,-87.69265919923781,41.957921,-87.673567,"member"
"DA79A5B3CA2DB25E","classic_bike","2023-05-24 18:38:59","2023-05-24 19:07:16","Ravenswood Ave & Berteau Ave","TA1309000018","Milwaukee Ave & Rockwell St","13242",41.957921,-87.673567,41.92019556200566,-87.69265919923781,"member"
"DA9AF23FEA4BEDDD","electric_bike","2023-05-11 18:18:30","2023-05-11 18:46:33","Field Blvd & South Water St","15534","Field Blvd & South Water St","15534",41.886281333333336,-87.6170565,41.88634906269,-87.6175165471,"member"
"4574020689502E9E","classic_bike","2023-05-26 21:30:38","2023-05-26 22:21:21","Sheridan Rd & Lawrence Ave","TA1309000041","Dusable Harbor","KA1503000064",41.969517,-87.654691,41.886976,-87.612813,"member"
"FE23DD03BDBDD490","classic_bike","2023-05-25 06:48:04","2023-05-25 06:55:57","Clark St & Schiller St","TA1309000024","Clark St & Lake St","KA1503000012",41.907993,-87.631501,41.88602082773,-87.6308760584,"member"
"3F4D099A10AE2034","classic_bike","2023-05-31 07:20:47","2023-05-31 07:26:11","Clark St & Schiller St","TA1309000024","Michigan Ave & Oak St","13042",41.907993,-87.631501,41.90096039,-87.62377664,"member"
"0941F79DE6FA0AA1","classic_bike","2023-05-07 15:44:50","2023-05-07 15:48:52","Clark St & Schiller St","TA1309000024","DuSable Lake Shore Dr & North Blvd","LF-005",41.907993,-87.631501,41.911722,-87.626804,"member"
"01E64882CBCB19B9","classic_bike","2023-05-05 18:17:14","2023-05-05 18:31:26","Southport Ave & Belmont Ave","13229","Racine Ave & Wrightwood Ave","TA1309000059",41.93947775040509,-87.6637476682663,41.928887,-87.658971,"member"
"C845C3CCA22E3BF7","classic_bike","2023-05-13 16:37:47","2023-05-13 16:43:02","Kedzie Ave & Milwaukee Ave","13085","Kedzie Ave & Palmer Ct","13292",41.929567,-87.707857,41.921525,-87.707322,"member"
"D9055A1E69899111","electric_bike","2023-05-05 13:38:41","2023-05-05 13:50:48","Damen Ave & Foster Ave","KA1504000149","Seeley Ave & Roscoe St","13144",41.975591666666666,-87.67943383333333,41.943403,-87.679618,"member"
"02CB0C8AEA8D0A88","electric_bike","2023-05-09 22:41:08","2023-05-09 22:47:19","Halsted St & 21st St","13162","Wentworth Ave & 24th St","TA1308000026",41.85382416666667,-87.64655833333333,41.85008369347577,-87.6321405172348,"member"
"D4C89DF5506EA213","classic_bike","2023-05-31 18:47:05","2023-05-31 19:20:24","Benson Ave & Church St","596","Greenview Ave & Jarvis Ave","520",42.048214,-87.683485,42.015962,-87.66857,"member"
"8A4F554DBDD6271A","classic_bike","2023-05-06 12:28:31","2023-05-06 12:34:51","Clark St & Schiller St","TA1309000024","Dayton St & North Ave","13058",41.907993,-87.631501,41.9105780349,-87.6494219288,"member"
"F84C7410BBF037AD","classic_bike","2023-05-15 10:57:07","2023-05-15 11:18:52","Western Ave & Granville Ave","KA1504000129","Sheridan Rd & Buena Ave","TA1309000027",41.99416136902,-87.689438282,41.958494,-87.654966,"member"
"F28CD19223409B3B","classic_bike","2023-05-18 09:31:51","2023-05-18 09:51:58","Western Ave & Granville Ave","KA1504000129","Sheridan Rd & Buena Ave","TA1309000027",41.99416136902,-87.689438282,41.958494,-87.654966,"member"
